texto;classificacao;probabilidade
Absolutamente incrível! Fiquei sem palavras com a qualidade disso.;positivo;63%
Que trabalho fantástico! Meus parabéns, está espetacular.;positivo;100%
Simplesmente perfeito! Não consigo encontrar um único defeito.;positivo;83%
Uau! Isso superou todas as minhas expectativas, sério.;positivo;95%
Que maravilhoso! É tão bom ver um conteúdo tão bom assim.;positivo;99%
Estou genuinamente impressionado(a) com o nível disso.;negativo;91%
Sem palavras para descrever o quanto isso ficou bom.;positivo;74%
Magnífico! Um dos melhores trabalhos que eu vi recentemente.;positivo;66%
Isso não está apenas bom, está excepcional. Parabéns!;positivo;98%
Que espetáculo! Fiquei de queixo caído com o resultado.;negativo;80%
Que capricho! Dá para ver o cuidado em cada pequeno detalhe.;positivo;74%
Um trabalho impecável, do começo ao fim. Parabéns pela dedicação!;positivo;87%
A qualidade disso está muito acima da média. Excelente!;positivo;93%
Dá para sentir a paixão e o esforço que você colocou nisso.;negativo;66%
Muito bem-feito! A execução está primorosa.;positivo;77%
Que profissionalismo! Um trabalho de altíssimo nível.;negativo;97%
Admiro a atenção aos detalhes, fez toda a diferença.;positivo;61%
Isso sim é um trabalho entregue com excelência.;negativo;59%
Nota mil! A qualidade está surreal de tão boa.;positivo;87%
O nível de polimento disso é admirável.;negativo;97%
Muito obrigado(a) por compartilhar! Isso era exatamente o que eu precisava.;positivo;84%
Que conteúdo valioso! Aprendi muito com essa postagem.;positivo;72%
Isso me ajudou demais! Você não tem noção do quanto.;negativo;80%
Essa dica salvou o meu dia! Gratidão eterna!;positivo;99%
Que explicação maravilhosa! Finalmente consegui entender esse assunto.;negativo;55%
Isso é de utilidade pública! Todos deveriam ver.;positivo;88%
Conteúdo muito rico e cheio de informações úteis.;positivo;86%
Guardei nos favoritos! Vou consultar isso muitas vezes.;positivo;54%
Obrigado por dedicar seu tempo para criar algo tão útil.;positivo;91%
Isso abriu minha mente de uma forma que eu não esperava.;negativo;58%
Que inspiração! Ver seu trabalho me motiva a ser melhor.;positivo;90%
Isso melhorou o meu dia! Que energia boa.;positivo;61%
Obrigado por ser essa fonte de inspiração para tanta gente.;positivo;54%
Terminei de ver isso e me sinto motivado(a) a começar meus projetos.;negativo;53%
Seu trabalho é a prova de que a dedicação vale a pena.;positivo;92%
Que incrível! Continue brilhando e inspirando a todos nós.;positivo;76%
É de pessoas como você que o mundo precisa! Inspirador.;positivo;66%
Sua jornada é muito motivadora. Parabéns pela conquista!;positivo;99%
Conteúdo que eleva a alma. Precisamos de mais disso.;negativo;69%
Você me inspirou a tentar fazer isso também!;negativo;90%
Você tem um talento inegável para isso. Impressionante!;negativo;55%
Que habilidade! Você faz parecer fácil algo que é tão complexo.;positivo;74%
Você realmente domina esse assunto. Uma verdadeira aula!;positivo;73%
Que dom maravilhoso! Lindo de se ver.;positivo;99%
Sua expertise nesse tópico é admirável.;positivo;70%
Mãos de fada! Que trabalho delicado e bem-executado.;positivo;92%
Você é uma referência nesse assunto para mim.;negativo;58%
Nossa, que genial! Uma solução muito inteligente.;positivo;97%
A sua técnica é apuradíssima. Parabéns!;positivo;67%
Isso é talento puro, não tem outra definição.;negativo;84%
Que vibe boa que essa postagem transmite! Adorei.;positivo;97%
Sua energia é contagiante! Saio daqui mais feliz.;negativo;76%
Obrigado por compartilhar essa positividade toda.;negativo;51%
Que astral maravilhoso! Precisava dessa energia hoje.;negativo;64%
A sua calma ao falar é contagiante.;negativo;64%
Um conteúdo leve, positivo e que faz bem.;positivo;96%
Isso trouxe uma paz muito boa. Obrigado(a).;positivo;87%
Adoro a atmosfera que você cria nos seus conteúdos.;positivo;96%
