texto,label
Que trabalho incrível! A dedicação posta nisso é evidente e o resultado ficou espetacular.,1
"Que decepcionante. Parece que foi feito de qualquer jeito, sem nenhum capricho ou atenção aos detalhes.",0
Muito obrigado por um conteúdo tão valioso! Aprendi muito e com certeza vou aplicar essas dicas.,1
"Sinceramente, que perda de tempo. O conteúdo é raso e não acrescenta nada que eu já não soubesse.",0
"Uau! A qualidade da produção está impecável, parece até cinema. Parabéns pelo profissionalismo.",1
Impossível assistir. A qualidade do áudio está horrível e a imagem muito escura.,0
Que didática maravilhosa! Você conseguiu explicar um tema super complexo de um jeito fácil de entender.,1
"A explicação está muito confusa. Você deu voltas e voltas e não chegou a lugar nenhum, saí com mais dúvidas.",0
Isso melhorou o meu dia! Que energia boa e que mensagem inspiradora. Precisamos de mais disso!,1
"Que conteúdo pesado e negativo. Sinceramente, saio daqui pior do que entrei. Desnecessário.",0
Estou genuinamente impressionado com a sua habilidade. Você faz parecer fácil!,1
Isso está muito malfeito. A execução é amadora e o resultado final é bem fraco.,0
Que ideia genial! Totalmente fora da caixa e muito criativo. Parabéns pela originalidade!,1
"Mais do mesmo. Não tem nada de original nisso, parece cópia de vários outros trabalhos que já vi.",0
"Sem palavras, apenas... perfeito. Não mudaria absolutely nada.",1
"Cheio de erros básicos. Faltou uma revisão simples antes de postar, isso tira toda a credibilidade.",0
Que análise profunda e necessária! Você trouxe pontos que eu nunca tinha parado para pensar.,1
Discordo totalmente. Sua análise é muito superficial e ignora fatos importantes sobre o assunto.,0
A estética disso está deslumbrante. Parabéns pelo bom gosto e pela harmonia visual.,1
Visualmente muito poluído. A quantidade de informação e as cores usadas cansam a vista.,0
Isso foi exatamente o que eu precisava ouvir hoje. Obrigado por compartilhar essa mensagem.,1
Que comentário infeliz. Totalmente desnecessário e fora de tom.,0
Estou aplaudindo de pé! Que talento e que dedicação. Merece todo o reconhecimento do mundo.,1
"Que trabalho preguiçoso. Parece que foi o mínimo esforço possível, só para dizer que fez.",0
O seu atendimento é fantástico! Fui tratado com muita atenção e meu problema foi resolvido rápido.,1
Péssimo atendimento. Fui tratado com descaso e ainda estou esperando uma solução para o meu problema.,0
Que produto maravilhoso! Qualidade excelente e cumpre exatamente o que promete. Valeu cada centavo.,1
Que produto de péssima qualidade. Quebrou no primeiro dia de uso e não cumpre nada do que promete.,0
Seu conteúdo é viciante! Já maratonei tudo e estou ansioso por mais.,1
Tive que parar na metade de tão chato que estava. O ritmo é muito lento e o assunto não prende.,0
Que sensibilidade! A forma como você abordou esse tema delicado foi muito respeitosa e tocante.,1
Totalmente insensível. A forma como você abordou esse tema foi problemática e desrespeitosa.,0
A sua evolução é nítida! Acompanho há um tempo e é incrível ver o quanto você melhorou.,1
Parece que você parou no tempo. O conteúdo não evolui e continua repetindo as mesmas fórmulas.,0
Isso é utilidade pública! Uma informação valiosa que todos deveriam saber. Obrigado por espalhar!,1
Isso é uma desinformação perigosa. Você deveria ter verificado os fatos antes de postar algo tão sério.,0
Obrigado pela generosidade de compartilhar tanto conhecimento de graça.,1
Isso é só autopromoção disfarçada de conteúdo. O único objetivo é vender alguma coisa no final.,0
Que escrita envolvente! Comecei a ler e não consegui parar até o final. Você escreve muito bem.,1
Que texto mal escrito. Cheio de erros de gramática e as ideias são totalmente desconexas.,0
Que vibe boa! Seu conteúdo sempre me deixa mais leve e feliz.,1
"Que energia pesada. O tom desse conteúdo é muito amargo e reclamão, que bosta.",0
Parabéns pela coragem de se posicionar sobre um assunto tão complexo.,1
"Que opinião vazia e sem embasamento. Falou, falou e não disse nada com sentido.",0
Admiro sua consistência. Você sempre entrega trabalhos de alta qualidade sem falhar.,1
Que inconsistência. O trabalho anterior estava ótimo e esse veio horrível. Não dá para confiar.,0
Que achado! Descobrir seu perfil foi a melhor coisa do meu dia. Já sou fã.,1
Não sei como o algoritmo me recomendou isso. Totalmente irrelevante para mim.,0
Obrigado por ser tão autêntico. É refrescante ver alguém sendo real por aqui.,1
"Parece muito forçado. Não soa nada autêntico, parece que está interpretando um personagem.",0
"A sua voz é tão calma, transmite uma paz imediata. Adoro ouvir.",1
A sua voz é muito irritante. Não consegui focar no conteúdo por causa do tom.,0
Que comunidade incrível você construiu. É um prazer fazer parte disso.,1
Que ambiente tóxico nos comentários. O criador parece incentivar esse tipo de comportamento.,0
Que edição dinâmica! O ritmo é perfeito e prende a atenção do início ao fim.,1
"A edição está caótica. Muitos cortes, zooms e efeitos desnecessários. Me deu dor de cabeça.",0
Você é uma referência nesse assunto para mim. Confio de olhos fechados.,1
Parece que você não domina o assunto que está tentando explicar. Informações muito rasas.,0
Que performance! Você tem um talento nato para [câmera/palco].,1
"Que atuação fraca. Não passou nenhuma emoção, muito robótico.",0
Obrigado por me fazer rir! Esse conteúdo foi hilário e muito inteligente.,1
"Tenta ser engraçado, mas é só constrangedor. Vergonha alheia.",0
Que produto lindo! O design é impecável e muito elegante.,1
O design desse produto é horrível. Parece antigo e de baixa qualidade.,0
Isso me inspirou a tentar de novo. Obrigado pela motivação!,1
Isso me desmotivou completamente. Que abordagem pessimista.,0
Sua honestidade na avaliação foi essencial. Me ajudou a decidir.,1
"Faltou honestidade. Claramente uma publicidade disfarçada, perdeu a credibilidade.",0
Que organização! O conteúdo é estruturado de um jeito que facilita muito o aprendizado.,1
"Que bagunça. As ideias estão jogadas aleatoriamente, impossível seguir a lógica.",0
Isso é uma obra de arte! A sua sensibilidade artística é admirável.,1
Isso é apenas uma cópia barata do trabalho de outra pessoa.,0
Que timing perfeito! Era exatamente a informação que eu estava procurando hoje.,1
"Que informação atrasada. Isso já é notícia velha, todo mundo já sabe.",0
Parabéns pela conquista! Você merece todo o sucesso que está tendo.,1
Totalmente sem mérito. Claramente teve sorte ou alguém ajudou.,0
Que preço justo! A qualidade que você entrega vale muito mais.,1
Que absurdo de caro. O que você entrega não vale nem metade do preço cobrado.,0
Sua resposta foi muito atenciosa. Obrigado pelo cuidado em responder.,1
Que resposta rude e defensiva. Não sabe aceitar críticas.,0
Que capricho! Dá para ver que cada detalhe foi pensado com carinho.,1
"Que desleixo. Parece que foi feito de qualquer jeito, sem cuidado nenhum.",0
A sua explicação me deu uma nova perspectiva sobre o assunto.,1
Sua explicação só me deixou mais confuso do que eu estava antes.,0
"Obrigado por ser tão transparente com seu público, você é verdadeiro e incrível.",1
Que falta de transparência. Esconde informações importantes.,0
Que história de superação! Um verdadeiro exemplo para todos.,1
Que história vitimista. Só sabe reclamar e culpar os outros.,0
"A trilha sonora escolhida foi perfeita, criou o clima exato.",1
A música de fundo está terrível e não combina nada com o tema.,0
Isso é viciante! Não consigo parar de ver/usar.,1
Usei uma vez e não quero nunca mais. Experiência horrível.,0
Sempre aprendo algo novo com você. Conteúdo de primeira!,1
Sinto que perdi QI assistindo isso. Conteúdo totalmente vazio.,0
Que ser humano incrível! Obrigado por ser luz.,1
Que pessoa desagradável. O tom de voz já entrega a arrogância.,0
Isso é o futuro! Que visão inovadora.,1
Isso é totalmente ultrapassado. Coisa dos anos 90.,0
Que comunidade saudável você criou aqui. Adoro interagir.,1
Que ambiente hostil. As pessoas aqui são muito agressivas.,0
Concordo 100% com cada palavra que você disse.,1
Discordo de literally cada palavra. Visão muito distorcida.,0
Que trabalho impecável! A qualidade técnica está de parabéns.,1
Que trabalho amador. A qualidade técnica é de iniciante.,0
Isso aqui é ouro puro! Conteúdo raro e valioso.,1
Isso aqui é lixo digital. Não serve para absolutely nada.,0
Você tem um dom para a comunicação. É muito claro e carismático.,1
